id,Name,"Visitor Institution",ciera_visit_international,"Post Date",Host,"Host Types",Content,Permalink,"Start Date (UnixTimestamp -- date=(((UnixTimeStamp/60)/60)/24)+DATE(1970,1,1))","End Date (UnixTimestamp)","Academic Year (as defined on website backend = FY-1)",Programs,Tags
378,"Phil Nicholson","Cornell University",,08/10/2018,"Yoram Lithwick",,,https://ciera.northwestern.edu/visits/phil-nicholson/,1537920000,1538092800,2019,interdisciplinary-colloquia|theory-group-meetings,
448,"Om Salafia"," University of Milano-Bicocca",,08/15/2018,"Wen-fai Fong",,,https://ciera.northwestern.edu/visits/om-salafia/,1505001600,1505174400,2018,special-astronomy-seminars,
488,"Adrian Barker","University of Leeds",,08/16/2018,"Yoram Lithwick",,,https://ciera.northwestern.edu/visits/adrian-barker/,1505692800,1506038400,2018,special-astronomy-seminars,
489,"Greg Taylor","University of New Mexico",,08/16/2018,"Farhad Yusef-Zadeh",,,https://ciera.northwestern.edu/visits/greg-taylor/,1505692800,1505865600,2018,ciera-colloquia,
491,"Suzanne Aigrain","University of Oxford",,08/16/2018,"Adam Miller",,,https://ciera.northwestern.edu/visits/suzanne-aigrain/,1505952000,1506124800,2018,special-astronomy-seminars|theory-group-meetings,
492,"Danny Milisavljevic","Purdue University",,08/16/2018,"Raffaella Margutti",,,https://ciera.northwestern.edu/visits/danny-milisavljevic/,1505952000,1506211200,2018,,
501,"Chelsea Harris","University of California, Berkeley",,08/16/2018,"Raffaella Margutti",,,https://ciera.northwestern.edu/visits/chelsea-harris/,1505952000,1506729600,2018,theory-group-meetings,
503,"Fabienne Bastien","Pennsylvania State University",,08/16/2018,"Aaron Geller",,,https://ciera.northwestern.edu/visits/fabienne-bastien/,1506297600,1506470400,2018,ciera-colloquia,
506,"Phil Cowperthwaite","Harvard University",,08/16/2018,"Wen-fai Fong",,,https://ciera.northwestern.edu/visits/phil-cowperthwaite/,1506556800,1506729600,2018,theory-group-meetings,
508,"Matthew Liska","University of Amsterdam",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/matthew-liska/,1506902400,1507852800,2018,theory-group-meetings,
509,"Ian Christie","Purdue University",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/ian-christie/,1506988800,1507248000,2018,special-astronomy-seminars,
510,"Wendy Freedman","University Of Chicago",,08/16/2018,"Vicky Kalogera",,,https://ciera.northwestern.edu/visits/wendy-freedman/,1507075200,1507248000,2018,ciera-annual-public-lectures,
511,"Paz Beniamini","George Washington University",,08/16/2018,"Raffaella Margutti",,,https://ciera.northwestern.edu/visits/paz-beniamini/,1507161600,1507334400,2018,theory-group-meetings,
512,"Hanno Rein","University of Toronto",,08/16/2018,"Ben Nelson",,,https://ciera.northwestern.edu/visits/hanno-rein/,1507507200,1507680000,2018,ciera-colloquia,
514,"Payaswini Saikia","Radboud University, Netherlands",,08/16/2018,"Deanne Coppejans",,,https://ciera.northwestern.edu/visits/payaswini-saikia/,1507507200,1508457600,2018,special-astronomy-seminars,
515,"Kristen Garofali","University of Washington",,08/16/2018,"Fani Dosopoulou",,,https://ciera.northwestern.edu/visits/kristen-garofali/,1508371200,1508457600,2018,theory-group-meetings,
516,"Michael Tremmel","Yale University",,08/16/2018,"Sarah Wellons",,,https://ciera.northwestern.edu/visits/michael-tremmel/,1508371200,1508457600,2018,theory-group-meetings,
517,"Susan Clark","Institute for Advanced Study",,08/16/2018,"Giles Novak",,,https://ciera.northwestern.edu/visits/susan-clark/,1508716800,1508889600,2018,ciera-colloquia,
518,"Aleksey Generozov","Columbia University",,08/16/2018,"Raffaella Margutti",,,https://ciera.northwestern.edu/visits/aleksey-generozov/,1508976000,1509148800,2018,theory-group-meetings,
519,"Frank van den Bosch","Yale University",,08/16/2018,"Sarah Wellons",,,https://ciera.northwestern.edu/visits/frank-van-den-bosch/,1509321600,1509494400,2018,ciera-colloquia,
520,"Gregory Laughlin","Yale University",,08/16/2018,"Ben Nelson",,,https://ciera.northwestern.edu/visits/gregory-laughlin/,1509494400,1509667200,2018,interdisciplinary-colloquia,
521,"Pierre Christian","Harvard University",,08/16/2018,"Sarah Wellons",,,https://ciera.northwestern.edu/visits/pierre-christian/,1509667200,1509753600,2018,theory-group-meetings,
522,"Gregg Hallinan","California Institute of Technology",,08/16/2018,"Deanne Coppejans",,,https://ciera.northwestern.edu/visits/gregg-hallinan/,1509926400,1510099200,2018,ciera-colloquia,
523,"Adrian Hamers","Institute for Advanced Study / Princeton",,08/16/2018,"Fabio Antonini",,,https://ciera.northwestern.edu/visits/adrian-hamers/,1509926400,1510272000,2018,special-astronomy-seminars,
524,"Vanessa Graber","McGill University",,08/16/2018,"Vicky Kalogera, Jim Sauls (CMP)",,,https://ciera.northwestern.edu/visits/vanessa-graber/,1510185600,1510185600,2018,ciera-colloquia,
526,"Sumit Sarbadhicary","University of Pittsburgh",,08/16/2018,"Raffaella Margutti",,,https://ciera.northwestern.edu/visits/sumit-sarbadhicary/,1510790400,1510876800,2018,,
528,"Adithan Kathirgamaraju","Purdue University",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/adithan-kathirgamaraju/,1510790400,1510876800,2018,,
529,"Dan Stevens","Ohio State University",,08/16/2018,"Ben Nelson",,,https://ciera.northwestern.edu/visits/dan-stevens/,1510790400,1510963200,2018,theory-group-meetings,
530,"Benjamin Oppenheimer","University of Colorado - Boulder",,08/16/2018,"Alex Richings",,,https://ciera.northwestern.edu/visits/benjamin-oppenheimer/,1511136000,1511308800,2018,special-astronomy-seminars,
531,"Carl Rodriguez","Massachusetts Institute of Technology",,08/16/2018,"Fred Rasio",,,https://ciera.northwestern.edu/visits/carl-rodriguez/,1511827200,1512432000,2018,,
533,"Ben Ryan","University of Illinois",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/ben-ryan/,1512000000,1512086400,2018,special-astronomy-seminars,
534,"Dan Tamayo","University of Toronto",,08/16/2018,"Fred Rasio, Seth Stein, Sourav Chatterjee",,,https://ciera.northwestern.edu/visits/dan-tamayo/,1512000000,1512172800,2018,interdisciplinary-colloquia,
536,"Karin Sandstrom","University of California, San Diego",,08/16/2018,"Cliff Johnson",,,https://ciera.northwestern.edu/visits/karin-sandstrom/,1512345600,1512691200,2018,,
537,"Carrie Volpert","University of Chicago",,08/16/2018,"Giles Novak",,,https://ciera.northwestern.edu/visits/carrie-volpert/,1512691200,1512691200,2018,,
538,"Drummond Fielding","University of California, Berkeley",,08/16/2018,"Claude-André Faucher-Giguère",,,https://ciera.northwestern.edu/visits/drummond-fielding/,1513555200,1516579200,2018,special-astronomy-seminars,
539,"Todd Thompson","Ohio State University",,08/16/2018,"Jonathan Stern",,,https://ciera.northwestern.edu/visits/todd-thompson/,1515974400,1516147200,2018,ciera-colloquia,
540,"Patrick Sheehan","University of Oklahoma",,08/16/2018,"Wen-fai Fong",,,https://ciera.northwestern.edu/visits/patrick-sheehan/,1515974400,1516320000,2018,,
541,"Damiano Caprioli","University of Chicago",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/damiano-caprioli/,1516320000,1516320000,2018,theory-group-meetings,
544,"Konstantin Batygin","California Institute of Technology",,08/16/2018,"Fred Rasio, Seth Jacobson",,,https://ciera.northwestern.edu/visits/konstantin-batygin/,1516838400,1517011200,2018,theory-group-meetings,
545,"Fakhri Zahedy","University of Chicago",,08/16/2018,"Jonathan Stern",,,https://ciera.northwestern.edu/visits/fakhri-zahedy/,1517270400,1517270400,2018,,
546,"Carrie Volpert","University of Chicago",,08/16/2018,"Giles Novak",,,https://ciera.northwestern.edu/visits/carrie-volpert-2/,1516665600,1517356800,2018,,
547,"Maxwell Moe","University of Arizona",,08/16/2018,"Diego Munoz",,,https://ciera.northwestern.edu/visits/maxwell-moe/,1517184000,1517356800,2018,ciera-colloquia,
548,"Heino Falcke","Radboud University",,08/16/2018,"Rocco Coppejans",,,https://ciera.northwestern.edu/visits/heino-falcke/,1517788800,1517961600,2018,ciera-colloquia,
550,"Jose Oñorbe","California Institute of Technology",,08/16/2018,"Jonathan Stern",,,https://ciera.northwestern.edu/visits/jose-onorbe/,1517788800,1518652800,2018,theory-group-meetings,
551,"Luke Zoltan Kelley","Harvard University",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/luke-zoltan-kelley/,1517961600,1518134400,2018,,
554,"Kate Alexander","Harvard University",,08/16/2018,"Wen-fai Fong",,,https://ciera.northwestern.edu/visits/kate-alexander/,1518048000,1518134400,2018,theory-group-meetings,
555,"David Chuss","Villanova University",,08/16/2018,"Giles Novak",,,https://ciera.northwestern.edu/visits/david-chuss/,1518393600,1518480000,2018,special-astronomy-seminars,
557,"Rebekah (Bekki) Dawson","Pennsylvania State University",,08/16/2018,"Wen-fai Fong",,,https://ciera.northwestern.edu/visits/rebekah-bekki-dawson/,1518393600,1518566400,2018,ciera-colloquia,
560,"Pranab Ghosh","Tata Institute of Fundamental Research",,08/16/2018,"Vicky Kalogera",,,https://ciera.northwestern.edu/visits/pranab-ghosh/,1518393600,1518739200,2018,theory-group-meetings,
561,"Carrie Volpert","University of Chicago",,08/16/2018,"Giles Novak",,,https://ciera.northwestern.edu/visits/carrie-volpert-3/,1518998400,1518998400,2018,,
562,"Christina Williams","University of Arizona",,08/16/2018,"Wen-fai Fong",,,https://ciera.northwestern.edu/visits/christina-williams/,1518998400,1519171200,2018,ciera-colloquia,
563,"Ying Qin","University of Geneva",,08/16/2018,"Vicky Kalogera, Tassos Fragos",,,https://ciera.northwestern.edu/visits/ying-qin/,1504224000,1519776000,2018,,
564,"Duncan Lorimer","West Virginia University",,08/16/2018,"Deanne Coppejans",,,https://ciera.northwestern.edu/visits/duncan-lorimer/,1519603200,1519776000,2018,ciera-colloquia,
565,"Michael Grudic","California Institute of Technology",,08/16/2018,"Cliff Johnson",,,https://ciera.northwestern.edu/visits/michael-grudic/,1519776000,1519948800,2018,theory-group-meetings,
566,"Maria Drout","Carnegie Institution for Science",,08/16/2018,"Giacomo Terreran",,,https://ciera.northwestern.edu/visits/maria-drout/,1520208000,1520380800,2018,ciera-colloquia,
568,"Alexander (Sasha) Philippov","University of California, Berkeley",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/alexander-sasha-philippov/,1520812800,1520985600,2018,ciera-colloquia,
569,"Ian Christie","Purdue University",,08/16/2018,"Sasha Tchekhovskoy",,,https://ciera.northwestern.edu/visits/ian-christie-2/,1521331200,1521763200,2018,,
