Calendar Group,Event Type Tags,id,Title,Category,Research Topic,Date,Duration,Attendance,Location,Year
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,David Bennett,Science,,9/27/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Fred Baganoff,Science,,10/11/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,James Lombardi,Science,,10/20/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Brad Peterson,Science,,11/8/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ned Wright,Science,,11/28/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Adrienne Cool,Science,,12/5/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Bill Watson,Science,,12/13/2001,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Josh Grindlay,Science,,2/27/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andreas Zezas,Science,,3/4/2002,1,20,,2002
CIERA - Special Seminars,Academic Seminars,,Andreas Zezas,Science,,3/4/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Phil Armitage,Science,,3/8/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Maha Ashour-Abdalla,Science,,3/14/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Derck Massa,Science,,3/14/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Donald Lubowich,Science,,3/28/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Douglas Heggie,Science,,4/11/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,David Merritt,Science,,4/19/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ronald Webbink,Science,,5/2/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Frank Marshall,Science,,5/9/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Duncan Lorimer,Science,,5/12/2002,1,20,,2002
CIERA - Special Seminars,Academic Seminars,,Duncan Lorimer,Science,,5/13/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Renu Malhotra,Science,,5/17/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Marc Freitag,Science,,5/20/2002,1,20,,2002
CIERA - Special Seminars,Academic Seminars,,Marc Freitag,Science,,5/20/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,John Fregeau,Science,,5/29/2002,1,20,,2002
CIERA - Special Seminars,Academic Seminars,,John Fregeau,Science,,5/29/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Roger Blandford,Science,,5/30/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Eric Ford,Science,,5/30/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Eugene Chiang,Science,,5/31/2002,1,20,,2002
CIERA - Special Seminars,Academic Seminars,,Eric Ford,Science,,5/31/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Roger Dixon,Science,,6/6/2002,1,20,,2002
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Scott Hughes,Science,,9/23/2002,1,20,,2003
CIERA - Special Seminars,Academic Seminars,,Scott Hughes,Science,,9/23/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Marc Freitag,Science,,10/2/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Peter Timbie,Science,,10/8/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Eve Ostriker,Science,,10/22/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Patrick Slane,Science,,10/29/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,You-Hua Chu,Science,,11/12/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Chris Matzner,Science,,11/19/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mike Muno,Science,,12/16/2002,1,20,,2003
CIERA - Special Seminars,Academic Seminars,,Mike Muno,Science,,12/16/2002,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Don Cox,Science,,1/14/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Philipp Podsiadlowski,Science,,1/23/2003,1,20,,2003
CIERA - Special Seminars,Academic Seminars,,Philipp Podsiadlowski,Science,,1/23/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alexander Heger,Science,,2/18/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Ray Jayawardhana,Science,,2/25/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Yousaf Butt,Science,,3/4/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Alex Raga,Science,,3/11/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Michael Smutko,Science,,4/15/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Mark Wardle,Science,,4/17/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Paul Ricker,Science,,4/22/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Rebecca Bernstein,Science,,4/29/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Walter Lewin,Science,,5/8/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Marc Pound,Science,,5/20/2003,1,20,,2003
CIERA - Special Seminars,Academic Seminars,,Milos Milosavljevic,Science,,6/9/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Milos Milosavljevic,Science,,6/10/2003,1,20,,2003
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Andrew King,Science,,6/10/2003,1,20,,2003
CIERA - Special Seminars,Academic Seminars,,Andrew King,Science,,6/10/2003,1,20,,2003
CIERA - Special Seminars,Academic Seminars,,Tom Maccarone,Science,,9/30/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Tom Maccarone,Science,,10/1/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,John Gallagher,Science,,10/14/2003,1,20,,2004
Physics and Astronomy Astrophysics Seminars,Academic Seminars,,Joesph Weingertner,Science,,10/21/2003,1,20,,2004
CIERA - Special Seminars,Academic Seminars,,Marc Freitag,Science,,10/26/2003,1,20,,2004
